id,artist,name,popularity,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,crit_acclaim
4Sd5tbNP4q8wS64abqwfkN,The War On Drugs,Thinking Of A Place,60,0.385,https://api.spotify.com/v1/audio-analysis/4Sd5tbNP4q8wS64abqwfkN,0.48100000000000004,670667,0.632,0.0817,11,0.11599999999999999,-7.117000000000001,1,0.0333,103.323,4,https://api.spotify.com/v1/tracks/4Sd5tbNP4q8wS64abqwfkN,audio_features,spotify:track:4Sd5tbNP4q8wS64abqwfkN,0.156,1
7CFQA88EzvK6WA3mEinnUd,Fever Ray,IDK About You,26,0.01,https://api.spotify.com/v1/audio-analysis/7CFQA88EzvK6WA3mEinnUd,0.7190000000000001,220531,0.75,0.12,11,0.552,-8.074,1,0.23199999999999998,160.011,4,https://api.spotify.com/v1/tracks/7CFQA88EzvK6WA3mEinnUd,audio_features,spotify:track:7CFQA88EzvK6WA3mEinnUd,0.746,1
6gpcs5eMhJwax4mIfKDYQk,Calvin Harris,Slide (feat. Frank Ocean & Migos),75,0.498,https://api.spotify.com/v1/audio-analysis/6gpcs5eMhJwax4mIfKDYQk,0.736,230813,0.795,1.21e-06,1,0.254,-3.299,0,0.0545,104.066,4,https://api.spotify.com/v1/tracks/6gpcs5eMhJwax4mIfKDYQk,audio_features,spotify:track:6gpcs5eMhJwax4mIfKDYQk,0.511,1
7KOlJ92bu51cltsD9KU5I7,Migos,T-Shirt,72,0.242,https://api.spotify.com/v1/audio-analysis/7KOlJ92bu51cltsD9KU5I7,0.865,242407,0.687,0.0,10,0.158,-3.7439999999999998,0,0.217,139.023,4,https://api.spotify.com/v1/tracks/7KOlJ92bu51cltsD9KU5I7,audio_features,spotify:track:7KOlJ92bu51cltsD9KU5I7,0.486,1
6gU9OKjOE7ghfEd55oRO57,SZA,The Weekend,77,0.24100000000000002,https://api.spotify.com/v1/audio-analysis/6gU9OKjOE7ghfEd55oRO57,0.48700000000000004,272187,0.366,0.0,8,0.126,-9.405,0,0.0531,68.191,5,https://api.spotify.com/v1/tracks/6gU9OKjOE7ghfEd55oRO57,audio_features,spotify:track:6gU9OKjOE7ghfEd55oRO57,0.161,1
5DmCLnojsZpi5SH2MMBDOW,Yaeji,drink i'm sippin on,52,0.0158,https://api.spotify.com/v1/audio-analysis/5DmCLnojsZpi5SH2MMBDOW,0.732,201446,0.504,0.031,4,0.166,-10.276,0,0.07200000000000001,130.084,4,https://api.spotify.com/v1/tracks/5DmCLnojsZpi5SH2MMBDOW,audio_features,spotify:track:5DmCLnojsZpi5SH2MMBDOW,0.47700000000000004,1
5IXTT9RvcVupmzLTFqIInj,St. Vincent,New York,57,0.892,https://api.spotify.com/v1/audio-analysis/5IXTT9RvcVupmzLTFqIInj,0.373,154960,0.449,1.26e-05,10,0.175,-11.645999999999999,1,0.14400000000000002,137.866,4,https://api.spotify.com/v1/tracks/5IXTT9RvcVupmzLTFqIInj,audio_features,spotify:track:5IXTT9RvcVupmzLTFqIInj,0.327,1
7j9DYPyCuvSAtPcevpAkzb,Arca,Desafío,44,0.486,https://api.spotify.com/v1/audio-analysis/7j9DYPyCuvSAtPcevpAkzb,0.161,233079,0.48200000000000004,0.409,1,0.371,-11.21,0,0.0472,161.092,5,https://api.spotify.com/v1/tracks/7j9DYPyCuvSAtPcevpAkzb,audio_features,spotify:track:7j9DYPyCuvSAtPcevpAkzb,0.0926,1
1D7NJhUyFsFpjIwXMiVO1R,Kelela,LMK,48,0.091,https://api.spotify.com/v1/audio-analysis/1D7NJhUyFsFpjIwXMiVO1R,0.595,218319,0.61,0.0,1,0.16,-7.007000000000001,0,0.033,99.529,4,https://api.spotify.com/v1/tracks/1D7NJhUyFsFpjIwXMiVO1R,audio_features,spotify:track:1D7NJhUyFsFpjIwXMiVO1R,0.504,1
5zOnoB8FdZudDcPX4O8WqF,Sampha,(No One Knows Me) Like the Piano,64,0.976,https://api.spotify.com/v1/audio-analysis/5zOnoB8FdZudDcPX4O8WqF,0.621,218160,0.19899999999999998,0.00186,10,0.107,-13.788,1,0.0344,128.905,4,https://api.spotify.com/v1/tracks/5zOnoB8FdZudDcPX4O8WqF,audio_features,spotify:track:5zOnoB8FdZudDcPX4O8WqF,0.17800000000000002,1
2Kerz9H9IejzeIpjhDJoYG,Lana Del Rey,Love,72,0.48700000000000004,https://api.spotify.com/v1/audio-analysis/2Kerz9H9IejzeIpjhDJoYG,0.527,272743,0.366,0.0023,10,0.11,-10.943,1,0.0277,98.994,4,https://api.spotify.com/v1/tracks/2Kerz9H9IejzeIpjhDJoYG,audio_features,spotify:track:2Kerz9H9IejzeIpjhDJoYG,0.23399999999999999,1
41AtPa0RB4WZxbMag1S5Ym,Kamasi Washington,Truth,47,0.0851,https://api.spotify.com/v1/audio-analysis/41AtPa0RB4WZxbMag1S5Ym,0.309,810322,0.838,0.63,2,0.14300000000000002,-8.134,1,0.132,115.26,4,https://api.spotify.com/v1/tracks/41AtPa0RB4WZxbMag1S5Ym,audio_features,spotify:track:41AtPa0RB4WZxbMag1S5Ym,0.391,1
6EJiVf7U0p1BBfs0qqeb1f,Carly Rae Jepsen,Cut To The Feeling,69,0.0135,https://api.spotify.com/v1/audio-analysis/6EJiVf7U0p1BBfs0qqeb1f,0.71,207960,0.909,0.00123,2,0.303,-2.7769999999999997,1,0.0639,115.001,4,https://api.spotify.com/v1/tracks/6EJiVf7U0p1BBfs0qqeb1f,audio_features,spotify:track:6EJiVf7U0p1BBfs0qqeb1f,0.648,1
6eL1ncVDtQHgSm3E288TS7,Vince Staples,Big Fish,65,0.484,https://api.spotify.com/v1/audio-analysis/6eL1ncVDtQHgSm3E288TS7,0.898,198133,0.547,1.04e-05,3,0.37,-5.707000000000001,0,0.313,100.01,4,https://api.spotify.com/v1/tracks/6eL1ncVDtQHgSm3E288TS7,audio_features,spotify:track:6eL1ncVDtQHgSm3E288TS7,0.763,1
7HAliS4AAbY8kWnhotOyTx,Jlin,Nyakinyua Rise,0,0.000496,https://api.spotify.com/v1/audio-analysis/7HAliS4AAbY8kWnhotOyTx,0.7879999999999999,220437,0.8290000000000001,0.715,10,0.109,-10.002,0,0.0654,118.506,3,https://api.spotify.com/v1/tracks/7HAliS4AAbY8kWnhotOyTx,audio_features,spotify:track:7HAliS4AAbY8kWnhotOyTx,0.49200000000000005,1
2q0VexHJirnUPnEOhr2DxK,Frank Ocean,Biking,72,0.6809999999999999,https://api.spotify.com/v1/audio-analysis/2q0VexHJirnUPnEOhr2DxK,0.6729999999999999,277521,0.46299999999999997,4.9000000000000005e-06,2,0.0907,-7.247000000000001,1,0.191,147.981,4,https://api.spotify.com/v1/tracks/2q0VexHJirnUPnEOhr2DxK,audio_features,spotify:track:2q0VexHJirnUPnEOhr2DxK,0.268,1
1xVznNshNUZcvdhSwj7kAb,LCD Soundsystem,how do you sleep?,41,0.00421,https://api.spotify.com/v1/audio-analysis/1xVznNshNUZcvdhSwj7kAb,0.638,552240,0.5670000000000001,0.10300000000000001,0,0.15,-9.061,1,0.0324,105.926,4,https://api.spotify.com/v1/tracks/1xVznNshNUZcvdhSwj7kAb,audio_features,spotify:track:1xVznNshNUZcvdhSwj7kAb,0.41100000000000003,1
1OxL1FWSEd7QmJoWLRP2NO,Jorja Smith,On My Mind (Jorja Smith X Preditah),72,0.42,https://api.spotify.com/v1/audio-analysis/1OxL1FWSEd7QmJoWLRP2NO,0.71,181510,0.662,0.0,10,0.0723,-5.947,0,0.175,130.037,4,https://api.spotify.com/v1/tracks/1OxL1FWSEd7QmJoWLRP2NO,audio_features,spotify:track:1OxL1FWSEd7QmJoWLRP2NO,0.755,1
