id,artist,name,popularity,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0Z50V6ciOp9cwIKrirpFxj,Radio 4,Eyes Wide Open,10,0.000621,https://api.spotify.com/v1/audio-analysis/0Z50V6ciOp9cwIKrirpFxj,0.655,222160,0.908,6.62e-05,7,0.291,-4.808,1,0.0357,122.114,4,https://api.spotify.com/v1/tracks/0Z50V6ciOp9cwIKrirpFxj,audio_features,spotify:track:0Z50V6ciOp9cwIKrirpFxj,0.777
0ln3n9UR8LpUURBWEcalWB,Thick Pigeon,Sudan,3,0.247,https://api.spotify.com/v1/audio-analysis/0ln3n9UR8LpUURBWEcalWB,0.471,256080,0.193,0.237,10,0.364,-19.13,1,0.057,125.654,5,https://api.spotify.com/v1/tracks/0ln3n9UR8LpUURBWEcalWB,audio_features,spotify:track:0ln3n9UR8LpUURBWEcalWB,0.17
0Roe7FYVAldX1qJIGTlNxm,Thick Pigeon,Crime,2,0.0149,https://api.spotify.com/v1/audio-analysis/0Roe7FYVAldX1qJIGTlNxm,0.772,219600,0.213,0.884,11,0.282,-19.867,1,0.106,67.778,4,https://api.spotify.com/v1/tracks/0Roe7FYVAldX1qJIGTlNxm,audio_features,spotify:track:0Roe7FYVAldX1qJIGTlNxm,0.558
6LI8lniBLyxY7pg4d9jUvv,Momus,Oskar Tennis Champion,0,0.233,https://api.spotify.com/v1/audio-analysis/6LI8lniBLyxY7pg4d9jUvv,0.481,250520,0.633,0.0,1,0.962,-14.146,1,0.768,136.269,4,https://api.spotify.com/v1/tracks/6LI8lniBLyxY7pg4d9jUvv,audio_features,spotify:track:6LI8lniBLyxY7pg4d9jUvv,0.513
21ACXEANg96r06oE4S2gnp,Momus,A Little Schubert,0,0.584,https://api.spotify.com/v1/audio-analysis/21ACXEANg96r06oE4S2gnp,0.744,217360,0.579,0.00294,5,0.127,-12.796,1,0.119,115.909,4,https://api.spotify.com/v1/tracks/21ACXEANg96r06oE4S2gnp,audio_features,spotify:track:21ACXEANg96r06oE4S2gnp,0.828
6znHMzZSVDxCtm7okuT3dj,Momus,A Lapdog,0,0.153,https://api.spotify.com/v1/audio-analysis/6znHMzZSVDxCtm7okuT3dj,0.695,258253,0.299,0.00231,0,0.103,-10.407,1,0.0336,92.624,4,https://api.spotify.com/v1/tracks/6znHMzZSVDxCtm7okuT3dj,audio_features,spotify:track:6znHMzZSVDxCtm7okuT3dj,0.361
6g3A3PeKeiOpMkdQaNWU6p,Hanin Elias,Untouchable,2,0.0112,https://api.spotify.com/v1/audio-analysis/6g3A3PeKeiOpMkdQaNWU6p,0.565,220107,0.768,0.00749,7,0.0894,-6.446,0,0.0611,117.973,4,https://api.spotify.com/v1/tracks/6g3A3PeKeiOpMkdQaNWU6p,audio_features,spotify:track:6g3A3PeKeiOpMkdQaNWU6p,0.389
70pQEKXGFawAuvLRktighW,Hanin Elias,After All (Drums),1,0.268,https://api.spotify.com/v1/audio-analysis/70pQEKXGFawAuvLRktighW,0.587,238640,0.526,0.627,5,0.113,-9.777,1,0.0385,155.975,4,https://api.spotify.com/v1/tracks/70pQEKXGFawAuvLRktighW,audio_features,spotify:track:70pQEKXGFawAuvLRktighW,0.464
3YBiN2aQ6XnsQdRY9w5kAw,Hanin Elias,Future Noir,3,0.0388,https://api.spotify.com/v1/audio-analysis/3YBiN2aQ6XnsQdRY9w5kAw,0.717,230413,0.707,0.0,0,0.162,-6.677,1,0.126,128.031,4,https://api.spotify.com/v1/tracks/3YBiN2aQ6XnsQdRY9w5kAw,audio_features,spotify:track:3YBiN2aQ6XnsQdRY9w5kAw,0.605
3yQbYycARkMbDLaJcSgsto,Hanin Elias,City Lights,2,0.0013,https://api.spotify.com/v1/audio-analysis/3yQbYycARkMbDLaJcSgsto,0.76,216240,0.667,0.0559,0,0.0578,-6.546,1,0.071,109.795,4,https://api.spotify.com/v1/tracks/3yQbYycARkMbDLaJcSgsto,audio_features,spotify:track:3yQbYycARkMbDLaJcSgsto,0.589
3N3hFsDHkvcv4WnJDeQySd,Clem Snide,Exercise,10,0.204,https://api.spotify.com/v1/audio-analysis/3N3hFsDHkvcv4WnJDeQySd,0.47,215507,0.409,0.00786,7,0.103,-10.667,1,0.0267,81.56,4,https://api.spotify.com/v1/tracks/3N3hFsDHkvcv4WnJDeQySd,audio_features,spotify:track:3N3hFsDHkvcv4WnJDeQySd,0.439
4gekrV7qVHJMT2KaSpKg4Y,Clem Snide,Your Favorite Music,10,0.00736,https://api.spotify.com/v1/audio-analysis/4gekrV7qVHJMT2KaSpKg4Y,0.476,237613,0.253,0.251,5,0.337,-15.134,1,0.0332,148.497,4,https://api.spotify.com/v1/tracks/4gekrV7qVHJMT2KaSpKg4Y,audio_features,spotify:track:4gekrV7qVHJMT2KaSpKg4Y,0.281
43WsoS39D6cOqOL2uFYQIE,Clem Snide,African Friend,5,0.452,https://api.spotify.com/v1/audio-analysis/43WsoS39D6cOqOL2uFYQIE,0.584,263627,0.265,3.4e-05,0,0.116,-10.738,1,0.0265,104.729,3,https://api.spotify.com/v1/tracks/43WsoS39D6cOqOL2uFYQIE,audio_features,spotify:track:43WsoS39D6cOqOL2uFYQIE,0.279
0nhVrTiCGiGRCoZOJiWzm1,Migos,Danger (with Migos & Marshmello),74,0.152,https://api.spotify.com/v1/audio-analysis/0nhVrTiCGiGRCoZOJiWzm1,0.814,214587,0.743,0.0,9,0.163,-2.968,1,0.159,107.996,4,https://api.spotify.com/v1/tracks/0nhVrTiCGiGRCoZOJiWzm1,audio_features,spotify:track:0nhVrTiCGiGRCoZOJiWzm1,0.367
1tndktY8ZFXapGYIeHUGR2,Slushii,There x2,57,0.179,https://api.spotify.com/v1/audio-analysis/1tndktY8ZFXapGYIeHUGR2,0.613,230418,0.812,0.0,1,0.11,-2.852,1,0.0545,144.943,4,https://api.spotify.com/v1/tracks/1tndktY8ZFXapGYIeHUGR2,audio_features,spotify:track:1tndktY8ZFXapGYIeHUGR2,0.391
59hi8SqTvn4CrUPr9pPrpX,Marshmallow Coast,Off to School,2,0.976,https://api.spotify.com/v1/audio-analysis/59hi8SqTvn4CrUPr9pPrpX,0.399,90280,0.21,0.906,4,0.105,-15.274,1,0.0417,77.377,4,https://api.spotify.com/v1/tracks/59hi8SqTvn4CrUPr9pPrpX,audio_features,spotify:track:59hi8SqTvn4CrUPr9pPrpX,0.384
5TFe4SZYVTjEf41Tvgnlzl,Marshmallow Coast,Seniors and Juniors,6,0.848,https://api.spotify.com/v1/audio-analysis/5TFe4SZYVTjEf41Tvgnlzl,0.882,148173,0.157,0.0325,8,0.282,-15.11,1,0.0671,107.663,4,https://api.spotify.com/v1/tracks/5TFe4SZYVTjEf41Tvgnlzl,audio_features,spotify:track:5TFe4SZYVTjEf41Tvgnlzl,0.356
7DOt597s5orjBBlrEte6Wy,Marshmallow Coast,Mashed Potato Light,3,0.934,https://api.spotify.com/v1/audio-analysis/7DOt597s5orjBBlrEte6Wy,0.626,151373,0.251,0.486,4,0.107,-15.376,1,0.0293,102.965,4,https://api.spotify.com/v1/tracks/7DOt597s5orjBBlrEte6Wy,audio_features,spotify:track:7DOt597s5orjBBlrEte6Wy,0.11
3e6vDahJXvJyz7hNBirkF6,Q-Burns Abstract Message,Touchin' On Something,0,0.00683,https://api.spotify.com/v1/audio-analysis/3e6vDahJXvJyz7hNBirkF6,0.745,473707,0.916,0.822,11,0.104,-7.371,0,0.0541,120.906,4,https://api.spotify.com/v1/tracks/3e6vDahJXvJyz7hNBirkF6,audio_features,spotify:track:3e6vDahJXvJyz7hNBirkF6,0.437
1USTBJGNFXy9U5gMitxzjX,Q-Burns Abstract Message,Bugeyed Sunglasses,1,0.00181,https://api.spotify.com/v1/audio-analysis/1USTBJGNFXy9U5gMitxzjX,0.706,392000,0.885,0.757,0,0.392,-6.572,1,0.0352,117.897,4,https://api.spotify.com/v1/tracks/1USTBJGNFXy9U5gMitxzjX,audio_features,spotify:track:1USTBJGNFXy9U5gMitxzjX,0.696
0TE0eYcuA2GccgnydoVcWr,Thouxanbanfauni,REUNION,41,0.0192,https://api.spotify.com/v1/audio-analysis/0TE0eYcuA2GccgnydoVcWr,0.9,109000,0.546,0.0,1,0.0797,-6.291,1,0.331,142.974,4,https://api.spotify.com/v1/tracks/0TE0eYcuA2GccgnydoVcWr,audio_features,spotify:track:0TE0eYcuA2GccgnydoVcWr,0.452
7MWNV6MYg2w37HE5pSnEHW,Maxwell,Reunion,36,0.675,https://api.spotify.com/v1/audio-analysis/7MWNV6MYg2w37HE5pSnEHW,0.552,293200,0.382,0.0149,6,0.0723,-10.454,0,0.0411,78.163,4,https://api.spotify.com/v1/tracks/7MWNV6MYg2w37HE5pSnEHW,audio_features,spotify:track:7MWNV6MYg2w37HE5pSnEHW,0.299
4TsDmh8jtTMdaa7UP3gxAR,Bad Meets Evil,The Reunion,50,0.189,https://api.spotify.com/v1/audio-analysis/4TsDmh8jtTMdaa7UP3gxAR,0.463,290413,0.895,0.0,1,0.732,-3.205,1,0.481,76.516,4,https://api.spotify.com/v1/tracks/4TsDmh8jtTMdaa7UP3gxAR,audio_features,spotify:track:4TsDmh8jtTMdaa7UP3gxAR,0.652
5m94r6OJerLU1ZK4UkxwdN,Hoodie Allen,Reunion,32,0.0245,https://api.spotify.com/v1/audio-analysis/5m94r6OJerLU1ZK4UkxwdN,0.735,215639,0.624,0.0,1,0.533,-4.365,1,0.179,102.595,5,https://api.spotify.com/v1/tracks/5m94r6OJerLU1ZK4UkxwdN,audio_features,spotify:track:5m94r6OJerLU1ZK4UkxwdN,0.268
32nElLh6814j1UldQnA9kZ,ClariS,Reunion,34,0.154,https://api.spotify.com/v1/audio-analysis/32nElLh6814j1UldQnA9kZ,0.657,293013,0.936,5.94e-06,3,0.194,-4.582,1,0.0395,134.98,4,https://api.spotify.com/v1/tracks/32nElLh6814j1UldQnA9kZ,audio_features,spotify:track:32nElLh6814j1UldQnA9kZ,0.805
