dpmb,sex,age,race,educ,polaff,polrig,mmtrust,pref_fox,pref_cnn,pref_bbc,pref_nyt,pref_wsj,pref_npr
0.13,1.00,0.00,0.00,0.00,1.00,3.17,0.00,1.00,0.00,0.00,0.00,0.00,0.00
0.13,1.00,1.00,0.00,0.00,1.00,2.67,0.00,1.00,0.00,1.00,0.00,1.00,0.00
0.13,1.00,0.00,0.00,0.00,1.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.12,0.00,1.00,0.00,1.00,1.00,3.67,0.00,1.00,0.00,0.00,0.00,0.00,1.00
1.00,0.00,1.00,0.00,0.00,3.00,3.75,1.00,1.00,0.00,1.00,0.00,0.00,0.00
0.06,0.00,1.00,0.00,0.00,1.00,3.33,0.00,1.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,1.00,0.00,1.00,2.00,3.92,1.00,0.00,1.00,0.00,1.00,1.00,0.00
0.00,0.00,1.00,1.00,1.00,1.00,3.50,0.00,0.00,0.00,1.00,0.00,1.00,1.00
0.75,0.00,0.00,0.00,0.00,3.00,3.92,1.00,0.00,0.00,1.00,0.00,0.00,0.00
0.00,0.00,1.00,0.00,1.00,1.00,3.17,0.00,0.00,1.00,1.00,0.00,0.00,1.00
1.10,1.00,1.00,0.00,1.00,1.00,4.07,1.00,0.00,0.00,1.00,1.00,1.00,0.00
0.00,1.00,1.00,0.00,1.00,1.00,2.50,0.00,1.00,0.00,0.00,1.00,1.00,0.00
0.00,1.00,1.00,0.00,1.00,1.00,2.17,0.00,1.00,0.00,0.00,0.00,0.00,0.00
1.10,1.00,1.00,0.00,1.00,1.00,4.07,1.00,0.00,0.00,0.00,1.00,1.00,0.00
-0.12,1.00,1.00,0.00,0.00,1.00,3.83,0.00,0.00,0.00,1.00,1.00,0.00,1.00
-0.13,0.00,0.00,0.00,0.00,1.00,3.83,0.00,1.00,0.00,0.00,1.00,1.00,0.00
-0.13,0.00,1.00,0.00,0.00,1.00,3.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00
1.20,1.00,1.00,0.00,1.00,2.00,4.08,1.00,1.00,1.00,0.00,1.00,0.00,0.00
1.40,1.00,0.00,0.00,0.00,1.00,4.25,1.00,0.00,0.00,0.00,1.00,1.00,1.00
1.50,1.00,0.00,0.00,0.00,1.00,4.25,1.00,0.00,0.00,0.00,1.00,0.00,0.00
1.50,1.00,1.00,0.00,0.00,2.00,4.25,1.00,0.00,0.00,0.00,0.00,0.00,1.00
-0.25,1.00,0.00,0.00,0.00,1.00,3.33,0.00,1.00,0.00,0.00,0.00,1.00,0.00
-0.25,0.00,1.00,0.00,0.00,1.00,2.50,0.00,1.00,0.00,1.00,0.00,1.00,0.00
